交易时间,交易分类,交易对方,商品说明,收/支,金额,收/付款方式,交易状态,来源,是否退款
2024-08-18 09:18:50,日用百货,沃尔玛,沃尔玛-超市购物,支出,58.65,余额宝,支付成功,支付宝,False
2024-08-17 19:41:38,微信红包,微信好友,微信好友-大吉大利,支出,0.56,零钱,支付成功,微信,False
2024-08-17 18:52:33,住房物业,房东,房东-水费,支出,308.89,余额宝,支付成功,支付宝,False
2024-08-17 16:58:36,扫二维码付款,打印店,打印店-扫码支付,支出,12.89,零钱,支付成功,微信,False
2024-08-17 16:23:40,交通出行,美团单车,美团单车-共享单车,支出,98.96,余额宝,支付成功,支付宝,False
2024-08-17 16:13:17,其他,菜市场,菜市场-买菜,支出,77.97,余额宝,支付成功,支付宝,False
2024-08-17 10:35:44,餐饮美食,麦当劳,麦当劳-工作餐,支出,42.18,余额宝,支付成功,支付宝,False
2024-08-17 09:10:12,转账红包,同事群,同事群-AA收款,支出,643.16,余额宝,支付成功,支付宝,False
2024-08-16 20:58:50,餐饮美食,瑞幸咖啡,瑞幸咖啡-周末改善伙食,支出,28.0,余额宝,支付成功,支付宝,False
2024-08-16 19:51:53,亲子,名创优品,名创优品-超市购物,支出,109.56,余额宝,支付成功,支付宝,False
2024-08-16 19:15:20,餐饮美食,沙县小吃,沙县小吃-聚餐,支出,82.78,余额宝,支付成功,支付宝,False
2024-08-16 16:44:08,转账,借款人,借款人-房租,支出,93.12,零钱,支付成功,微信,False
2024-08-16 10:28:09,数码电器,苏宁易购,苏宁易购-购买手机,支出,80.19,余额宝,支付成功,支付宝,False
2024-08-15 19:15:28,文化休闲,万达影城,万达影城-演唱会门票,支出,838.28,余额宝,支付成功,支付宝,False
2024-08-15 19:00:15,微信红包,家人,家人-恭喜发财,支出,7.21,零钱,支付成功,微信,False
2024-08-15 17:10:16,餐饮美食,兰州拉面,兰州拉面-聚餐,支出,13.62,余额宝,支付成功,支付宝,False
2024-08-15 14:30:00,收入,XX科技有限公司,工资,收入,15000.0,银行卡,支付成功,支付宝,False
2024-08-14 17:45:29,餐饮美食,必胜客,必胜客-早餐,支出,47.71,余额宝,支付成功,支付宝,False
2024-08-14 15:07:24,餐饮美食,沙县小吃,沙县小吃-外卖订单,支出,306.71,余额宝,支付成功,支付宝,False
2024-08-13 22:52:07,充值缴费,腾讯视频,腾讯视频-流量包,支出,195.93,余额宝,支付成功,支付宝,False
2024-08-13 14:39:53,餐饮美食,海底捞,海底捞-下午茶,支出,425.59,余额宝,支付成功,支付宝,False
2024-08-13 12:37:58,转账红包,李四,李四-AA收款,支出,118.19,余额宝,支付成功,支付宝,False
2024-08-13 11:06:59,医疗健康,社区卫生中心,社区卫生中心-挂号费,支出,68.03,余额宝,支付成功,支付宝,False
2024-08-12 16:26:00,商户消费,菜市场,菜市场-零钱支付,支出,44.46,零钱,支付成功,微信,False
2024-08-12 12:29:57,餐饮美食,饿了么,饿了么-早餐,支出,46.81,余额宝,支付成功,支付宝,False
2024-08-11 18:54:01,微信红包,家人,家人-大吉大利,支出,27.08,零钱,支付成功,微信,False
2024-08-11 17:30:30,医疗健康,大参林药店,大参林药店-体检,支出,60.97,余额宝,支付成功,支付宝,False
2024-08-11 17:11:40,收入,XX科技有限公司,XX科技有限公司-奖金,收入,429.13,余额宝,支付成功,支付宝,False
2024-08-11 13:12:44,餐饮美食,肯德基,肯德基-下午茶,支出,30.89,余额宝,支付成功,支付宝,False
2024-08-11 12:14:06,微信红包,家人,家人-生日快乐,支出,2.79,零钱,支付成功,微信,False
2024-08-11 10:29:59,日用百货,屈臣氏,屈臣氏-超市购物,支出,12.68,余额宝,支付成功,支付宝,False
2024-08-10 23:09:59,扫二维码付款,打印店,打印店-付款,支出,30.0,零钱,支付成功,微信,False
2024-08-10 19:58:19,扫二维码付款,小吃店,小吃店-付款,支出,184.87,零钱,支付成功,微信,False
2024-08-10 18:27:26,交通出行,公交公司,公交公司-停车费,支出,17.6,余额宝,支付成功,支付宝,False
2024-08-10 11:44:25,餐饮美食,海底捞,海底捞-下午茶,支出,39.92,余额宝,支付成功,支付宝,False
2024-08-10 10:13:53,运动户外,名创优品,名创优品-零食饮料,支出,175.79,余额宝,支付成功,支付宝,False
2024-08-09 21:07:56,商户消费,小卖部,小卖部-买早餐,支出,12.82,零钱,支付成功,微信,False
2024-08-09 19:30:01,亲子,京东超市,京东超市-洗漱用品,支出,39.82,余额宝,支付成功,支付宝,False
2024-08-09 18:09:06,收入,银行利息,银行利息-二手出售,收入,16.24,余额宝,支付成功,支付宝,False
2024-08-08 22:47:55,餐饮美食,喜茶,喜茶-夜宵,支出,347.74,余额宝,支付成功,支付宝,False
2024-08-08 16:00:29,收入,闲鱼买家,闲鱼买家-二手出售,收入,680.7,余额宝,支付成功,支付宝,False
2024-08-07 22:32:11,收入,闲鱼买家,闲鱼买家-工资发放,收入,16.04,余额宝,支付成功,支付宝,False
2024-08-07 20:06:46,日用百货,名创优品,名创优品-购买生活用品,支出,81.45,余额宝,支付成功,支付宝,False
2024-08-07 19:17:02,日用百货,屈臣氏,屈臣氏-纸巾湿巾,支出,206.73,余额宝,支付成功,支付宝,False
2024-08-07 14:36:11,转账,房东,房东-还款,支出,100.36,零钱,支付成功,微信,False
2024-08-07 14:25:32,教育培训,全家FamilyMart,全家FamilyMart-超市购物,支出,168.8,余额宝,支付成功,支付宝,False
2024-08-07 14:16:44,扫二维码付款,打印店,打印店-付款,支出,27.6,零钱,支付成功,微信,False
2024-08-07 12:58:17,扫二维码付款,出租车,出租车-付款,支出,17.05,零钱,支付成功,微信,False
2024-08-07 11:44:14,收入,银行利息,银行利息-工资发放,收入,48.04,余额宝,支付成功,支付宝,False
2024-08-06 22:08:44,宠物,罗森,罗森-购买生活用品,支出,90.24,余额宝,支付成功,支付宝,False
2024-08-06 19:22:12,商户消费,水果摊,水果摊-零钱支付,支出,3.36,零钱,支付成功,微信,False
2024-08-06 16:39:40,日用百货,名创优品,名创优品-纸巾湿巾,支出,30.21,余额宝,支付成功,支付宝,False
2024-08-05 22:28:56,服饰装扮,H&M,H&M-运动装备,支出,79.02,余额宝,支付成功,支付宝,False
2024-08-05 15:07:14,其他,水果摊,水果摊-买早餐,支出,166.39,余额宝,支付成功,支付宝,False
2024-08-05 11:57:32,日用百货,淘宝购物,淘宝购物-超市购物,支出,85.1,余额宝,支付成功,支付宝,False
2024-08-04 19:55:27,转账红包,张三,张三-转账,支出,125.41,余额宝,支付成功,支付宝,False
2024-08-04 19:49:28,日用百货,屈臣氏,屈臣氏-购买生活用品,支出,185.03,余额宝,支付成功,支付宝,False
2024-08-04 19:26:53,商户消费,小卖部,小卖部-零钱支付,支出,48.12,零钱,支付成功,微信,False
2024-08-04 19:13:28,餐饮美食,美团外卖,美团外卖-周末改善伙食,支出,103.26,余额宝,支付成功,支付宝,False
2024-08-04 17:45:11,运动户外,淘宝购物,淘宝购物-超市购物,支出,310.41,余额宝,支付成功,支付宝,False
2024-08-03 21:14:56,餐饮美食,美团外卖,美团外卖-夜宵,支出,34.88,余额宝,支付成功,支付宝,False
2024-08-03 17:40:43,美容美发,审美造型,审美造型-染发,支出,65.3,余额宝,支付成功,支付宝,False
2024-08-02 18:07:06,住房物业,房东,房东-宽带费,支出,15.85,余额宝,支付成功,支付宝,False
2024-08-01 18:42:50,收入,银行利息,银行利息-工资发放,收入,980.86,余额宝,支付成功,支付宝,False
2024-08-01 09:00:00,住房物业,房东,房租,支出,4500.0,银行卡,支付成功,支付宝,False
2024-07-31 19:18:57,其他,菜市场,菜市场-买水果,支出,34.16,余额宝,支付成功,支付宝,False
2024-07-31 18:09:22,服饰装扮,淘宝服饰,淘宝服饰-运动装备,支出,243.01,余额宝,支付成功,支付宝,False
2024-07-31 13:27:04,收入,闲鱼买家,闲鱼买家-理财收益,收入,67.37,余额宝,支付成功,支付宝,False
2024-07-31 08:56:03,商户消费,早餐车,早餐车-零钱支付,支出,17.63,零钱,支付成功,微信,False
2024-07-30 21:06:12,餐饮美食,喜茶,喜茶-早餐,支出,16.73,余额宝,支付成功,支付宝,False
2024-07-30 13:10:29,其他,便利店,便利店-买水果,支出,790.43,余额宝,支付成功,支付宝,False
2024-07-30 09:28:51,转账,朋友,朋友-房租,收入,142.78,零钱,支付成功,微信,False
2024-07-29 21:33:32,交通出行,滴滴出行,滴滴出行-地铁充值,支出,6.55,余额宝,支付成功,支付宝,False
2024-07-29 19:21:22,商户消费,小卖部,小卖部-买菜,支出,6.68,零钱,支付成功,微信,False
2024-07-29 15:16:50,扫二维码付款,路边摊,路边摊-付款,支出,24.82,零钱,支付成功,微信,False
2024-07-29 13:01:17,服饰装扮,阿迪达斯,阿迪达斯-换季衣服,支出,663.4,余额宝,支付成功,支付宝,False
2024-07-29 11:40:35,酒店旅游,华住会,华住会-度假,支出,1713.78,余额宝,支付成功,支付宝,False
2024-07-29 09:37:05,运动户外,屈臣氏,屈臣氏-洗漱用品,支出,152.53,余额宝,支付成功,支付宝,False
2024-07-28 19:50:20,亲子,7-11便利店,7-11便利店-纸巾湿巾,支出,52.15,余额宝,支付成功,支付宝,False
2024-07-28 12:03:03,医疗健康,社区卫生中心,社区卫生中心-口罩消毒液,支出,11.51,余额宝,支付成功,支付宝,False
2024-07-28 09:30:41,转账红包,同事群,同事群-转账,收入,777.06,余额宝,支付成功,支付宝,False
2024-07-28 08:52:02,转账,借款人,借款人-还款,支出,877.45,零钱,支付成功,微信,False
2024-07-27 18:32:22,亲子,沃尔玛,沃尔玛-零食饮料,支出,166.03,余额宝,支付成功,支付宝,False
2024-07-27 17:05:36,服饰装扮,ZARA,ZARA-换季衣服,支出,868.98,余额宝,支付成功,支付宝,False
2024-07-27 14:32:08,日用百货,罗森,罗森-洗漱用品,支出,6.57,余额宝,支付成功,支付宝,False
2024-07-27 11:42:48,转账,房东,房东-房租,支出,144.43,零钱,支付成功,微信,False
2024-07-27 10:00:58,扫二维码付款,出租车,出租车-付款,支出,110.85,零钱,支付成功,微信,False
2024-07-27 01:09:09,商户消费,菜市场,菜市场-买早餐,支出,38.45,零钱,支付成功,微信,False
2024-07-26 21:42:24,转账,朋友,朋友-房租,支出,179.71,零钱,支付成功,微信,False
2024-07-26 16:23:40,交通出行,滴滴出行,滴滴出行-地铁充值,支出,240.7,余额宝,支付成功,支付宝,False
2024-07-26 13:58:45,餐饮美食,瑞幸咖啡,瑞幸咖啡-下午茶,支出,72.05,余额宝,支付成功,支付宝,False
2024-07-26 13:14:20,扫二维码付款,小吃店,小吃店-扫码支付,支出,174.73,零钱,支付成功,微信,False
2024-07-26 12:32:26,日用百货,沃尔玛,沃尔玛-购买生活用品,支出,251.82,余额宝,支付成功,支付宝,False
2024-07-26 11:37:47,餐饮美食,海底捞,海底捞-外卖订单,支出,167.15,余额宝,支付成功,支付宝,False
2024-07-26 10:44:01,商户消费,水果摊,水果摊-零钱支付,支出,2.87,零钱,支付成功,微信,False
2024-07-25 19:03:29,日用百货,全家FamilyMart,全家FamilyMart-超市购物,支出,42.79,余额宝,支付成功,支付宝,False
2024-07-25 14:53:02,餐饮美食,美团外卖,美团外卖-夜宵,支出,144.45,余额宝,支付成功,支付宝,False
2024-07-25 12:32:32,服饰装扮,阿迪达斯,阿迪达斯-运动装备,支出,128.95,余额宝,支付成功,支付宝,False
2024-07-24 18:12:28,亲子,沃尔玛,沃尔玛-超市购物,支出,86.9,余额宝,支付成功,支付宝,False
2024-07-24 18:01:37,交通出行,中国石油,中国石油-加油,支出,13.03,余额宝,支付成功,支付宝,False
2024-07-24 15:38:47,餐饮美食,沙县小吃,沙县小吃-周末改善伙食,支出,18.46,余额宝,支付成功,支付宝,False
2024-07-24 11:36:35,餐饮美食,蜜雪冰城,蜜雪冰城-聚餐,支出,28.33,余额宝,支付成功,支付宝,False
2024-07-24 08:49:12,运动户外,全家FamilyMart,全家FamilyMart-纸巾湿巾,支出,824.63,余额宝,支付成功,支付宝,False
2024-07-23 23:44:00,交通出行,中国石油,中国石油-回家车票,支出,432.33,余额宝,支付成功,支付宝,False
2024-07-23 17:03:11,充值缴费,中国移动,中国移动-会员订阅,支出,190.14,余额宝,支付成功,支付宝,False
2024-07-23 16:58:47,商户消费,小卖部,小卖部-买水果,支出,381.9,零钱,支付成功,微信,False
2024-07-23 13:38:31,商户消费,水果摊,水果摊-买菜,支出,12.29,零钱,支付成功,微信,False
2024-07-23 12:40:25,商户消费,便利店,便利店-买水果,支出,36.62,零钱,支付成功,微信,False
2024-07-23 03:10:15,亲子,京东超市,京东超市-洗漱用品,支出,937.57,余额宝,支付成功,支付宝,False
2024-07-22 11:36:33,转账,朋友,朋友-还款,收入,86.86,零钱,支付成功,微信,False
2024-07-21 22:18:12,亲子,淘宝购物,淘宝购物-购买生活用品,支出,38.21,余额宝,支付成功,支付宝,False
2024-07-21 20:58:58,转账红包,张三,张三-借款还款,收入,161.16,余额宝,支付成功,支付宝,False
2024-07-21 16:45:53,收入,闲鱼买家,闲鱼买家-奖金,收入,55.81,余额宝,支付成功,支付宝,False
2024-07-21 13:23:08,扫二维码付款,小吃店,小吃店-付款,支出,8.18,零钱,支付成功,微信,False
2024-07-21 11:33:19,餐饮美食,麦当劳,麦当劳-夜宵,支出,140.76,余额宝,支付成功,支付宝,False
2024-07-21 11:11:54,餐饮美食,喜茶,喜茶-周末改善伙食,支出,44.3,余额宝,支付成功,支付宝,False
2024-07-20 20:02:03,餐饮美食,麦当劳,麦当劳-工作餐,支出,123.6,余额宝,支付成功,支付宝,False
2024-07-20 19:51:18,服饰装扮,ZARA,ZARA-运动装备,支出,1128.75,余额宝,支付成功,支付宝,False
2024-07-20 18:01:36,餐饮美食,喜茶,喜茶-周末改善伙食,支出,102.14,余额宝,支付成功,支付宝,False
2024-07-20 12:59:36,收入,银行利息,银行利息-理财收益,收入,126.39,余额宝,支付成功,支付宝,False
2024-07-20 10:33:55,文化休闲,万达影城,万达影城-买书,支出,17.66,余额宝,支付成功,支付宝,False
2024-07-20 07:41:47,转账,借款人,借款人-转账,支出,180.39,零钱,支付成功,微信,False
2024-07-20 05:48:37,餐饮美食,星巴克,星巴克-早餐,支出,16.53,余额宝,支付成功,支付宝,False
2024-07-19 19:52:50,交通出行,中国石化,中国石化-回家车票,支出,17.11,余额宝,支付成功,支付宝,False
2024-07-19 15:35:41,交通出行,公交公司,公交公司-停车费,支出,6.04,余额宝,支付成功,支付宝,False
2024-07-18 20:14:54,交通出行,中国石油,中国石油-停车费,支出,10.8,余额宝,支付成功,支付宝,False
2024-07-18 20:13:53,餐饮美食,肯德基,肯德基-外卖订单,支出,48.47,余额宝,支付成功,支付宝,False
2024-07-18 18:03:44,餐饮美食,瑞幸咖啡,瑞幸咖啡-外卖订单,支出,25.44,余额宝,支付成功,支付宝,False
2024-07-18 10:45:47,服饰装扮,优衣库,优衣库-配饰,支出,73.13,余额宝,支付成功,支付宝,False
2024-07-18 10:00:07,微信红包,家人,家人-大吉大利,收入,119.05,零钱,支付成功,微信,False
2024-07-17 20:51:15,爱车养车,路边洗车店,路边洗车店-保险,支出,141.19,余额宝,支付成功,支付宝,False
2024-07-17 12:36:27,商户消费,菜市场,菜市场-买水果,支出,36.56,零钱,支付成功,微信,False
2024-07-17 10:28:51,扫二维码付款,小吃店,小吃店-付款,支出,4.78,零钱,支付成功,微信,False
2024-07-16 23:57:58,美容美发,审美造型,审美造型-理发,支出,82.0,余额宝,支付成功,支付宝,False
2024-07-16 16:05:14,其他,水果摊,水果摊-零钱支付,支出,134.86,零钱,支付成功,微信,False
2024-07-16 12:07:23,医疗健康,第一人民医院,第一人民医院-挂号费,支出,96.81,余额宝,支付成功,支付宝,False
2024-07-16 11:32:16,酒店旅游,飞猪旅行,飞猪旅行-订酒店,支出,2279.88,余额宝,支付成功,支付宝,False
2024-07-15 20:04:13,住房物业,房东,房东-水费,支出,608.17,余额宝,支付成功,支付宝,False
2024-07-15 18:33:53,餐饮美食,喜茶,喜茶-外卖订单,支出,23.75,余额宝,支付成功,支付宝,False
2024-07-15 16:05:15,餐饮美食,兰州拉面,兰州拉面-周末改善伙食,支出,19.33,余额宝,支付成功,支付宝,False
2024-07-15 14:30:00,收入,XX科技有限公司,工资,收入,15000.0,银行卡,支付成功,支付宝,False
2024-07-15 13:47:39,住房物业,自来水公司,自来水公司-宽带费,支出,205.31,余额宝,支付成功,支付宝,False
2024-07-14 21:05:10,文化休闲,网鱼网咖,网鱼网咖-看电影,支出,33.8,余额宝,支付成功,支付宝,False
2024-07-14 15:08:12,住房物业,万科物业,万科物业-物业费,支出,179.21,余额宝,支付成功,支付宝,False
2024-07-14 14:31:18,教育培训,家乐福,家乐福-超市购物,支出,142.1,余额宝,支付成功,支付宝,False
2024-07-14 13:31:49,服饰装扮,ZARA,ZARA-鞋子,支出,283.32,余额宝,支付成功,支付宝,False
2024-07-14 10:43:48,商户消费,菜市场,菜市场-零钱支付,支出,570.4,零钱,支付成功,微信,False
2024-07-14 09:12:09,微信红包,家人,家人-生日快乐,支出,11.28,零钱,支付成功,微信,False
2024-07-13 19:28:33,交通出行,中国石化,中国石化-地铁充值,支出,14.33,余额宝,支付成功,支付宝,False
2024-07-13 14:16:05,餐饮美食,喜茶,喜茶-早餐,支出,45.77,余额宝,支付成功,支付宝,False
2024-07-13 12:58:00,餐饮美食,星巴克,星巴克-早餐,支出,162.02,余额宝,支付成功,支付宝,False
2024-07-13 12:48:47,日用百货,名创优品,名创优品-纸巾湿巾,支出,36.82,余额宝,支付成功,支付宝,False
2024-07-13 10:26:05,微信红包,家人,家人-生日快乐,支出,63.53,零钱,支付成功,微信,False
2024-07-13 09:28:20,住房物业,万科物业,万科物业-水费,支出,28.58,余额宝,支付成功,支付宝,False
2024-07-12 18:32:24,文化休闲,网鱼网咖,网鱼网咖-游戏充值,支出,74.86,余额宝,支付成功,支付宝,False
2024-07-12 12:43:42,商户消费,小卖部,小卖部-零钱支付,支出,6.46,零钱,支付成功,微信,False
2024-07-12 11:43:13,餐饮美食,兰州拉面,兰州拉面-外卖订单,支出,13.88,余额宝,支付成功,支付宝,False
2024-07-11 23:18:28,餐饮美食,麦当劳,麦当劳-周末改善伙食,支出,24.89,余额宝,支付成功,支付宝,False
2024-07-11 22:58:45,商户消费,菜市场,菜市场-买菜,支出,1.63,零钱,支付成功,微信,False
2024-07-11 19:01:34,充值缴费,爱奇艺,爱奇艺-话费充值,支出,118.05,余额宝,支付成功,支付宝,False
2024-07-11 14:24:54,交通出行,中国石化,中国石化-地铁充值,支出,292.83,余额宝,支付成功,支付宝,False
2024-07-10 23:16:09,餐饮美食,美团外卖,美团外卖-工作餐,支出,40.57,余额宝,支付成功,支付宝,False
2024-07-10 14:53:06,服饰装扮,耐克Nike,耐克Nike-鞋子,支出,1934.92,余额宝,支付成功,支付宝,False
2024-07-10 09:11:38,其他,小卖部,小卖部-买早餐,支出,127.41,余额宝,支付成功,支付宝,False
2024-07-09 12:13:50,交通出行,铁路12306,铁路12306-打车上班,支出,72.25,余额宝,支付成功,支付宝,False
2024-07-09 10:41:10,商户消费,菜市场,菜市场-买菜,支出,169.65,零钱,支付成功,微信,False
2024-07-09 01:17:57,亲子,罗森,罗森-超市购物,支出,511.54,余额宝,支付成功,支付宝,False
2024-07-08 13:39:12,交通出行,T3出行,T3出行-加油,支出,3.85,余额宝,支付成功,支付宝,False
2024-07-08 13:02:32,文化休闲,网鱼网咖,网鱼网咖-买书,支出,83.27,余额宝,支付成功,支付宝,False
2024-07-08 09:51:22,文化休闲,万达影城,万达影城-游戏充值,支出,170.54,余额宝,支付成功,支付宝,False
2024-07-07 15:54:32,交通出行,公交公司,公交公司-共享单车,支出,8.32,余额宝,支付成功,支付宝,False
2024-07-07 09:09:28,微信红包,家人,家人-生日快乐,收入,3.49,零钱,支付成功,微信,False
2024-07-06 09:35:08,医疗健康,社区卫生中心,社区卫生中心-买药,支出,35.47,余额宝,支付成功,支付宝,False
2024-07-06 08:30:24,扫二维码付款,出租车,出租车-扫码支付,支出,2.53,零钱,支付成功,微信,False
2024-07-05 23:20:52,餐饮美食,肯德基,肯德基-夜宵,支出,161.78,余额宝,支付成功,支付宝,False
2024-07-05 21:16:47,群收款,聚餐群,聚餐群-活动费,支出,77.87,零钱,支付成功,微信,False
2024-07-05 19:06:23,餐饮美食,蜜雪冰城,蜜雪冰城-下午茶,支出,63.74,余额宝,支付成功,支付宝,False
2024-07-05 18:29:12,亲子,7-11便利店,7-11便利店-购买生活用品,支出,97.9,余额宝,支付成功,支付宝,False
2024-07-05 16:21:13,其他,小卖部,小卖部-买早餐,支出,22.9,余额宝,支付成功,支付宝,False
2024-07-04 20:36:16,微信红包,同学,同学-大吉大利,收入,1.35,零钱,支付成功,微信,False
2024-07-04 18:02:10,文化休闲,大麦网,大麦网-看电影,支出,151.88,余额宝,支付成功,支付宝,False
2024-07-04 17:55:26,服饰装扮,阿迪达斯,阿迪达斯-运动装备,支出,367.45,余额宝,支付成功,支付宝,False
2024-07-04 17:26:48,餐饮美食,必胜客,必胜客-夜宵,支出,34.97,余额宝,支付成功,支付宝,False
2024-07-04 13:53:01,日用百货,京东超市,京东超市-购买生活用品,支出,482.89,余额宝,支付成功,支付宝,False
2024-07-04 09:57:13,餐饮美食,瑞幸咖啡,瑞幸咖啡-夜宵,支出,7.35,余额宝,支付成功,支付宝,False
2024-07-03 21:22:53,商户消费,菜市场,菜市场-买水果,支出,55.67,零钱,支付成功,微信,False
2024-07-03 18:27:42,日用百货,7-11便利店,7-11便利店-纸巾湿巾,支出,54.28,余额宝,支付成功,支付宝,False
2024-07-03 17:27:58,商户消费,菜市场,菜市场-买水果,支出,17.88,零钱,支付成功,微信,False
2024-07-03 11:31:51,爱车养车,4S店,4S店-保养,支出,900.01,余额宝,支付成功,支付宝,False
2024-07-03 10:43:04,转账,房东,房东-房租,支出,79.58,零钱,支付成功,微信,False
2024-07-03 10:11:24,文化休闲,网鱼网咖,网鱼网咖-看电影,支出,123.18,余额宝,支付成功,支付宝,False
2024-07-03 08:13:15,餐饮美食,喜茶,喜茶-聚餐,支出,21.08,余额宝,支付成功,支付宝,False
2024-07-02 18:26:31,交通出行,中国石油,中国石油-停车费,支出,14.41,余额宝,支付成功,支付宝,False
2024-07-02 18:07:44,酒店旅游,亚朵酒店,亚朵酒店-景点门票,支出,1747.87,余额宝,支付成功,支付宝,False
2024-07-02 10:13:09,微信红包,家人,家人-大吉大利,支出,81.49,零钱,支付成功,微信,False
2024-07-02 09:46:00,日用百货,全家FamilyMart,全家FamilyMart-超市购物,支出,286.94,余额宝,支付成功,支付宝,False
2024-07-02 03:16:03,商户消费,菜市场,菜市场-买菜,支出,116.54,零钱,支付成功,微信,False
2024-07-01 22:14:52,文化休闲,万达影城,万达影城-买书,支出,155.52,余额宝,支付成功,支付宝,False
2024-07-01 18:32:49,转账红包,同事群,同事群-AA收款,支出,264.42,余额宝,支付成功,支付宝,False
2024-07-01 13:41:55,餐饮美食,瑞幸咖啡,瑞幸咖啡-周末改善伙食,支出,15.96,余额宝,支付成功,支付宝,False
2024-07-01 10:33:53,收入,闲鱼买家,闲鱼买家-奖金,收入,155.26,余额宝,支付成功,支付宝,False
2024-07-01 09:00:00,住房物业,房东,房租,支出,4500.0,银行卡,支付成功,支付宝,False
2024-07-01 06:50:49,餐饮美食,沙县小吃,沙县小吃-夜宵,支出,14.27,余额宝,支付成功,支付宝,False
2024-06-30 20:30:06,商户消费,菜市场,菜市场-零钱支付,支出,8.29,零钱,支付成功,微信,False
2024-06-30 19:31:49,扫二维码付款,打印店,打印店-付款,支出,20.75,零钱,支付成功,微信,False
2024-06-30 19:05:11,交通出行,公交公司,公交公司-回家车票,支出,12.12,余额宝,支付成功,支付宝,False
2024-06-30 16:30:25,日用百货,名创优品,名创优品-洗漱用品,支出,279.42,余额宝,支付成功,支付宝,False
2024-06-30 15:43:12,餐饮美食,蜜雪冰城,蜜雪冰城-周末改善伙食,支出,145.33,余额宝,支付成功,支付宝,False
2024-06-30 15:08:20,交通出行,美团单车,美团单车-回家车票,支出,19.3,余额宝,支付成功,支付宝,False
2024-06-30 12:53:01,商户消费,水果摊,水果摊-买水果,支出,673.7,零钱,支付成功,微信,False
2024-06-30 12:11:03,亲子,名创优品,名创优品-纸巾湿巾,支出,149.22,余额宝,支付成功,支付宝,False
2024-06-30 12:02:17,餐饮美食,兰州拉面,兰州拉面-下午茶,支出,15.4,余额宝,支付成功,支付宝,False
2024-06-29 20:38:01,扫二维码付款,打印店,打印店-付款,支出,69.66,零钱,支付成功,微信,False
2024-06-29 18:58:22,交通出行,公交公司,公交公司-回家车票,支出,10.11,余额宝,支付成功,支付宝,False
2024-06-29 17:11:13,医疗健康,海王星辰,海王星辰-体检,支出,22.89,余额宝,支付成功,支付宝,False
2024-06-29 13:49:08,餐饮美食,沙县小吃,沙县小吃-外卖订单,支出,25.51,余额宝,支付成功,支付宝,False
2024-06-29 10:35:27,服饰装扮,淘宝服饰,淘宝服饰-运动装备,支出,1779.57,余额宝,支付成功,支付宝,False
2024-06-29 09:18:30,餐饮美食,必胜客,必胜客-夜宵,支出,20.09,余额宝,支付成功,支付宝,False
2024-06-28 18:54:32,交通出行,哈啰单车,哈啰单车-打车上班,支出,11.55,余额宝,支付成功,支付宝,False
2024-06-28 17:52:39,爱车养车,路边洗车店,路边洗车店-维修,支出,16.47,余额宝,支付成功,支付宝,False
2024-06-28 12:13:23,扫二维码付款,打印店,打印店-扫码支付,支出,5.89,零钱,支付成功,微信,False
2024-06-27 23:39:28,商户消费,便利店,便利店-买菜,支出,24.61,零钱,支付成功,微信,False
2024-06-27 21:22:50,亲子,淘宝购物,淘宝购物-购买生活用品,支出,91.29,余额宝,支付成功,支付宝,False
2024-06-27 20:49:53,餐饮美食,必胜客,必胜客-外卖订单,支出,17.47,余额宝,支付成功,支付宝,False
2024-06-27 20:11:55,住房物业,万科物业,万科物业-电费,支出,357.18,余额宝,支付成功,支付宝,False
2024-06-27 17:26:13,微信红包,同学,同学-生日快乐,收入,7.0,零钱,支付成功,微信,False
2024-06-27 16:12:21,商户消费,小卖部,小卖部-零钱支付,支出,33.45,零钱,支付成功,微信,False
2024-06-27 12:50:25,日用百货,全家FamilyMart,全家FamilyMart-超市购物,支出,13.92,余额宝,支付成功,支付宝,False
2024-06-27 11:15:12,商户消费,便利店,便利店-买早餐,支出,37.01,零钱,支付成功,微信,False
2024-06-27 11:04:30,商户消费,早餐车,早餐车-买早餐,支出,403.99,零钱,支付成功,微信,False
2024-06-26 21:55:28,服饰装扮,H&M,H&M-换季衣服,支出,773.38,余额宝,支付成功,支付宝,False
2024-06-26 15:28:24,运动户外,7-11便利店,7-11便利店-洗漱用品,支出,217.3,余额宝,支付成功,支付宝,False
2024-06-26 10:41:39,扫二维码付款,出租车,出租车-扫码支付,支出,12.7,零钱,支付成功,微信,False
2024-06-26 09:30:10,其他,水果摊,水果摊-买水果,支出,54.67,余额宝,支付成功,支付宝,False
2024-06-26 08:18:23,餐饮美食,瑞幸咖啡,瑞幸咖啡-外卖订单,支出,19.66,余额宝,支付成功,支付宝,False
2024-06-25 21:44:24,其他,菜市场,菜市场-零钱支付,支出,714.93,余额宝,支付成功,支付宝,False
2024-06-25 20:45:10,转账红包,同事群,同事群-转账,支出,60.99,余额宝,支付成功,支付宝,False
2024-06-25 19:30:10,服饰装扮,唯品会,唯品会-鞋子,支出,215.55,余额宝,支付成功,支付宝,False
2024-06-25 17:00:52,商户消费,菜市场,菜市场-零钱支付,支出,22.92,零钱,支付成功,微信,False
2024-06-25 14:33:20,亲子,罗森,罗森-购买生活用品,支出,193.26,余额宝,支付成功,支付宝,False
2024-06-25 12:30:50,交通出行,T3出行,T3出行-地铁充值,支出,14.27,余额宝,支付成功,支付宝,False
